=== EXP03: power vs BATCH SIZE (d fixed per block) ===

-- d = 4096 --
   perturb    str      B |     mmd     ksd  moment
--------------------------------------------------
     scale   0.02     64 |    0.30    0.07    1.00
     scale   0.02    128 |    0.70    0.05    1.00
     scale   0.02    256 |    1.00    0.08    1.00
     scale   0.02    512 |    1.00    0.13    1.00

   lowrank   0.10     64 |    0.06    0.06    1.00
   lowrank   0.10    128 |    0.05    0.07    1.00
   lowrank   0.10    256 |    0.10    0.18    1.00
   lowrank   0.10    512 |    0.17    0.29    1.00

   mixture   0.50     64 |    0.07    0.07    0.06
   mixture   0.50    128 |    0.05    0.05    0.03
   mixture   0.50    256 |    0.07    0.06    0.06
   mixture   0.50    512 |    0.09    0.09    0.00

      corr   0.10     64 |    0.10    0.12    0.06
      corr   0.10    128 |    0.08    0.12    0.04
      corr   0.10    256 |    0.16    0.31    0.05
      corr   0.10    512 |    0.35    0.76    0.05


-- d = 16384 --
   perturb    str      B |     mmd     ksd  moment
--------------------------------------------------
     scale   0.02     64 |    0.70    0.03    1.00
     scale   0.02    128 |    0.99    0.06    1.00
     scale   0.02    256 |    1.00    0.00    1.00
     scale   0.02    512 |    1.00    0.04    1.00

   lowrank   0.10     64 |    0.03    0.03    1.00
   lowrank   0.10    128 |    0.07    0.07    1.00
   lowrank   0.10    256 |    0.00    0.00    1.00
   lowrank   0.10    512 |    0.06    0.07    1.00

   mixture   0.50     64 |    0.03    0.03    0.02
   mixture   0.50    128 |    0.06    0.06    0.05
   mixture   0.50    256 |    0.00    0.00    0.01
   mixture   0.50    512 |    0.04    0.04    0.04

      corr   0.10     64 |    0.16    0.21    0.09
      corr   0.10    128 |    0.15    0.19    0.08
      corr   0.10    256 |    0.16    0.50    0.03
      corr   0.10    512 |    0.57    0.98    0.08

done
